id,app,name,applied
1,contenttypes,0001_initial,2023-01-30 17:46:41.207795
2,auth,0001_initial,2023-01-30 17:46:41.232532
3,admin,0001_initial,2023-01-30 17:46:41.250203
4,admin,0002_logentry_remove_auto_add,2023-01-30 17:46:41.269642
5,admin,0003_logentry_add_action_flag_choices,2023-01-30 17:46:41.281186
6,contenttypes,0002_remove_content_type_name,2023-01-30 17:46:41.308788
7,auth,0002_alter_permission_name_max_length,2023-01-30 17:46:41.325061
8,auth,0003_alter_user_email_max_length,2023-01-30 17:46:41.341324
9,auth,0004_alter_user_username_opts,2023-01-30 17:46:41.353174
10,auth,0005_alter_user_last_login_null,2023-01-30 17:46:41.370297
11,auth,0006_require_contenttypes_0002,2023-01-30 17:46:41.375358
12,auth,0007_alter_validators_add_error_messages,2023-01-30 17:46:41.388816
13,auth,0008_alter_user_username_max_length,2023-01-30 17:46:41.404825
14,auth,0009_alter_user_last_name_max_length,2023-01-30 17:46:41.423128
15,auth,0010_alter_group_name_max_length,2023-01-30 17:46:41.439227
16,auth,0011_update_proxy_permissions,2023-01-30 17:46:41.450732
17,auth,0012_alter_user_first_name_max_length,2023-01-30 17:46:41.466306
18,sessions,0001_initial,2023-01-30 17:46:41.478180
19,car_bnb_app,0001_initial,2023-01-30 18:04:04.251673
20,car_bnb_app,0002_alter_rent_end_date_alter_rent_start_date,2023-01-30 18:41:07.512047
